"Codigo da obra";"Titulo Original";"Titulo no Brasil";"Ano de produc?o";"Diretor";"Raz?o Social do Requerente";"CNPJ Requerente";"Data de liberac?o p exibic?o"
"15007294";"VIVIR ES FÁCIL CON LOS OJOS CERRADOS";"VIVER É FACIL COM OS OLHOS FECHADOS";"2013";"DAVID TRUEBA";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"29-SEP-15"
"15007251";"MISS YOU ALREADY";"JÁ ESTOU COM SAUDADES";"2015";"CATHERINE HARDWICKE";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"30-SEP-15"
"15007365";"PAPA OU MAMAN";"RELACIONAMENTO À FRANCESA";"2015";"MARTIN BOURBOULON";"TUCUMÁN DISTRIBUIDORA DE FILMES LTDA";"10.681.698/0001-01";"07-OCT-15"
"15007333";"DAD'S ARMY";"O EXÉRCITO DO PAPAI";"2015";"OLIVER PARKER";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-OCT-15"
"15007343";"HAIL, CAESAR!";"HAIL, CAESAR!";"2016";"ETHAN COEN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"09-OCT-15"
"15007343";"HAIL, CAESAR!";"AVE, CÉSAR!";"2016";"ETHAN COEN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"09-OCT-15"
"15007398";"WARCRAFT";"WARCFRAT – O PRIMEIRO ENCONTRO ENTRE DOIS MUNDOS";"2016";"DUNCAN JONES";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"09-OCT-15"
"15007413";"MISTRESS AMERICA";"MISTRESS AMERICA";"2015";"NOAH BAUMBACH";"VITRINE FILMES EIRELI - ME";"11.620.976/0001-83";"05-OCT-15"
"15007450";"THE SECRET LIFE OF PETS";"PETS - A VIDA SECRETA DOS BICHOS";"2016";"YARROW CHENEY";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"09-OCT-15"
"15007457";"A MAN IN THE DARK";"O HOMEM NAS TREVAS";"2015";"FEDE ALVAREZ";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"09-OCT-15"
"15007509";"THE SHALLOWS";"ÁGUAS RASAS";"2016";"JAUME COLLET-SERRA";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"09-OCT-15"
"15007504";"ILLUMINATION PRO. 2";"ILLUMINATION PRO. 2";"2015";"GARTH JENNINGS";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"12-NOV-15"
"15007487";"THE SMELL OF US";"O CHEIRO DA GENTE";"2014";"LARRY CLARK";"ZETA FILMES LTDA - ME";"02.469.679/0001-98";"06-OCT-15"
"15007433";"WAR ROOM";"LUTANDO COM A FÉ";"2015";"ALEX KENDRICK";"CANZION DO BRASIL LTDA";"18.659.925/0001-04";"09-OCT-15"
"15007564";"JUMANJI: WELCOME TO THE JUNGLE";"JUMANJI: BEM-VINDO À SELVA";"2017";"JAKE KASDAM";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-OCT-15"
"17000456";"THE FATE OF THE FURIOUS";"VELOZES E FURIOSOS 8";"2017";"F. GARY GRAY";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-OCT-15"
"15007576";"FIFTY SHADES DARKER";"CINQUENTA TONS MAIS ESCUROS";"2017";"JAMES FOLEY";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-OCT-15"
"15007579";"BABY DRIVER";"EM RITMO DE FUGA";"2017";"EDGAR WRIGHT";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-OCT-15"
"15007585";"RESIDENT EVIL 6: THE FINAL CHAPTER";"RESIDENT EVIL 6 - O CAPÍTULO FINAL";"2015";"PAUL W.S. ANDERSON";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-OCT-15"
"15007529";"DHEEPAN";"DHEEPAN O REFÚGIO";"2015";"JACQUES AUDIARD";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"09-OCT-15"
"15007599";"PITCH PERFECT 3";"A ESCOLHA PERFEITA 3";"2017";"KAY CANNON";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-OCT-15"
"15007603";"THE LAMB";"THE LAMB";"2015";"TIM RECKART";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-OCT-15"
"15007605";"UNIVERSAL MONSTER FRANCHISE";"UNIVERSAL MONSTER FRANCHISE";"2015";"ALEX KURTZMAN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-OCT-15"
"15007682";"WOLF TOTEM";"ESPÍRITO DE LOBO";"2015";"JEAN-JACQUES ANNAUD";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"16-OCT-15"
"15005812";"LOVE & MERCY";"LOVE & MERCY";"2014";" BILL POHLAD";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"27-OCT-16"
"15006890";"OLMO AND THE SEAGULL";"OLMO E A GAIVOTA";"2015";"LEA GLOB";"PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP";"08.656.129/0001-64";"19-OCT-15"
"15007972";"ISSO EXISTE";"ISSO EXISTE";"2015";"DAVID HANRAHAN";"SANTA RITA FILMES EIRELI - ME";"15.479.865/0001-50";"26-OCT-15"
"15007528";"AN";"SABOR DA VIDA";"2015";"NAOMI KAWASE";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"12-NOV-15"
"15008248";"HISTORIA DE LA MEVA MORT";"HISTÓRIA DA MINHA MORTE";"2013";"ALBERT SERRA";"SUPO MUNGAM FILMS LTDA - ME";"21.437.756/0001-72";"01-FEB-17"
"726376";"MEMÓRIAS DA BOCA";"MEMÓRIAS DA BOCA";"2014";"JOSE MOJICA MARINS";"CUMAMUE CINEMA EIRELI - EPP";"17.214.316/0001-89";"12-NOV-15"
"726376";"MEMÓRIAS DA BOCA";"MEMÓRIAS DA BOCA";"2014";"CLERY LEITE DA CUNHA";"CUMAMUE CINEMA EIRELI - EPP";"17.214.316/0001-89";"12-NOV-15"
"15008138";"ALVIN AND THE CHIPMUNKS: THE ROAD CHIP";"ALVIN E OS ESQUILOS: NA ESTRADA";"2015";"WALT BECKER";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"23-NOV-15"
"15008464";"MACBETH";"MACBETH: AMBIÇÃO E GUERRA";"2015";"JUSTIN KURZEL";"DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.";"17.095.184/0001-13";"27-OCT-16"
