"";"titulo";"faixa_etaria";"sinopse"
"1";"Climax";"18";"Nos anos 90, um grupo de dançarinos urbanos se reúnem em um isolado internato, localizado no coração de uma floresta, para um importante ensaio. Ao fazerem uma última festa de comemoração, eles notam a atmosfera mudando e percebem que foram drogados quando uma estranha loucura toma conta deles. Sem saberem o por quê ou por quem, os jovens mergulham num turbilhão de paranoia e psicose. Enquanto para uns, parece o paraíso, para outros parece uma descida ao inferno."
"2";"Jovens Infelizes ou Um Homem que Grita não É um Urso que Dança";"18";"Um grupo de artistas vive reunido em uma pequena casa. Sofrendo com as más condições financeiras, eles tentam criar uma verdadeira arte revolucionária, capaz de enfrentar o sistema e libertá-los da opressão do governo. Quando algumas tentativas falham, eles partem para medidas extremas.Classificação indicativa: a definir por http://www.culturadigital.br/classind"
"3";"Crimes Obscuros";"18";"O policial Tadek (Jim Carrey) investiga um caso de assassinato não resolvido e encontra semelhanças do crime em um livro do artista polonês Krystov Kozlow (Marton Csokas). Ele começa a investigar a vida do escritor e da sua namorada, uma mulher misteriosa (Charlotte Gainsbourg) que trabalha num sex club. Sua obsessão aumenta e Tadek fica cada vez mais atormentado, adentrando num submundo de sexo, mentiras e corrupção.Classificação indicativa a definir por http://www.culturadigital.br/classind."
"4";"As Filhas do Fogo";"18";"Insatisfeitas com suas próprias vidas, três mulheres independentes de meia-idade se encontram por acaso, bem longes de suas casas, e começam a se relacionar de maneira poliamorosa. Quando percebem que estão livres daquilo que acreditam ser regras sociais possessivas, elas decidem formar um grupo cujo propósito é libertar outras mulheres que estejam passando pelos mesmos problemas."
"5";"Milagre";"18";"Apesar dos milagres serem o elemento central da fé cristã, atualmente, são poucos os que se propõem  a adentrar o tema. Através de conversas com pensadores como Olavo de Carvalho, Raphael de Paola e Wolfgang Smith, o diretor Mauro Ventura inicia uma investigação filosófica acerca desse fenômeno, com o objetivo de dissecá-lo de forma profunda e desvendar os seus enigmas para a contemporaneidade."
